filename,B_frames,I_frames,P_frames
output_h261_176x144_1000k.avi,0,0,1443
output_h261_176x144_100k.avi,0,0,1443
output_h261_176x144_1250k.avi,0,0,1443
output_h261_176x144_1500k.avi,0,0,1443
output_h261_176x144_2000k.avi,0,0,1443
output_h261_176x144_200k.avi,0,0,1443
output_h261_176x144_2500k.avi,0,0,1443
output_h261_176x144_3000k.avi,0,0,1443
output_h261_176x144_300k.avi,0,0,1443
output_h261_176x144_3500k.avi,0,0,1443
output_h261_176x144_400k.avi,0,0,1443
output_h261_176x144_500k.avi,0,0,1443
output_h261_176x144_750k.avi,0,0,1443
output_h261_352x288_1000k.avi,0,0,1443
output_h261_352x288_100k.avi,0,0,1443
output_h261_352x288_1250k.avi,0,0,1443
output_h261_352x288_1500k.avi,0,0,1443
output_h261_352x288_2000k.avi,0,0,1443
output_h261_352x288_200k.avi,0,0,1443
output_h261_352x288_2500k.avi,0,0,1443
output_h261_352x288_3000k.avi,0,0,1443
output_h261_352x288_300k.avi,0,0,1443
output_h261_352x288_3500k.avi,0,0,1443
output_h261_352x288_400k.avi,0,0,1443
output_h261_352x288_500k.avi,0,0,1443
output_h261_352x288_750k.avi,0,0,1443
output_mpeg1_1280x720_1000k.mp4,0,131,1312
output_mpeg1_1280x720_100k.mp4,0,131,1312
output_mpeg1_1280x720_1250k.mp4,0,131,1312
output_mpeg1_1280x720_1500k.mp4,0,131,1312
output_mpeg1_1280x720_2000k.mp4,0,129,1314
output_mpeg1_1280x720_200k.mp4,0,131,1312
output_mpeg1_1280x720_2500k.mp4,0,128,1315
output_mpeg1_1280x720_3000k.mp4,0,126,1317
output_mpeg1_1280x720_300k.mp4,0,131,1312
output_mpeg1_1280x720_3500k.mp4,0,126,1317
output_mpeg1_1280x720_400k.mp4,0,131,1312
output_mpeg1_1280x720_500k.mp4,0,131,1312
output_mpeg1_1280x720_750k.mp4,0,131,1312
output_mpeg1_176x144_1000k.mp4,0,122,1321
output_mpeg1_176x144_100k.mp4,0,126,1317
output_mpeg1_176x144_1250k.mp4,0,122,1321
output_mpeg1_176x144_1500k.mp4,0,122,1321
output_mpeg1_176x144_2000k.mp4,0,122,1321
output_mpeg1_176x144_200k.mp4,0,124,1319
output_mpeg1_176x144_2500k.mp4,0,122,1321
output_mpeg1_176x144_3000k.mp4,0,122,1321
output_mpeg1_176x144_300k.mp4,0,122,1321
output_mpeg1_176x144_3500k.mp4,0,122,1321
output_mpeg1_176x144_400k.mp4,0,122,1321
output_mpeg1_176x144_500k.mp4,0,122,1321
output_mpeg1_176x144_750k.mp4,0,122,1321
output_mpeg1_1920x1080_1000k.mp4,0,134,1309
output_mpeg1_1920x1080_100k.mp4,0,134,1309
output_mpeg1_1920x1080_1250k.mp4,0,134,1309
output_mpeg1_1920x1080_1500k.mp4,0,134,1309
output_mpeg1_1920x1080_2000k.mp4,0,134,1309
output_mpeg1_1920x1080_200k.mp4,0,134,1309
output_mpeg1_1920x1080_2500k.mp4,0,133,1310
output_mpeg1_1920x1080_3000k.mp4,0,132,1311
output_mpeg1_1920x1080_300k.mp4,0,134,1309
output_mpeg1_1920x1080_3500k.mp4,0,133,1310
output_mpeg1_1920x1080_400k.mp4,0,134,1309
output_mpeg1_1920x1080_500k.mp4,0,134,1309
output_mpeg1_1920x1080_750k.mp4,0,134,1309
output_mpeg1_352x288_1000k.mp4,0,122,1321
output_mpeg1_352x288_100k.mp4,0,130,1313
output_mpeg1_352x288_1250k.mp4,0,121,1322
output_mpeg1_352x288_1500k.mp4,0,121,1322
output_mpeg1_352x288_2000k.mp4,0,121,1322
output_mpeg1_352x288_200k.mp4,0,129,1314
output_mpeg1_352x288_2500k.mp4,0,121,1322
output_mpeg1_352x288_3000k.mp4,0,121,1322
output_mpeg1_352x288_300k.mp4,0,128,1315
output_mpeg1_352x288_3500k.mp4,0,121,1322
output_mpeg1_352x288_400k.mp4,0,126,1317
output_mpeg1_352x288_500k.mp4,0,125,1318
output_mpeg1_352x288_750k.mp4,0,124,1319
output_mpeg1_720x480_1000k.mp4,0,128,1315
output_mpeg1_720x480_100k.mp4,0,130,1313
output_mpeg1_720x480_1250k.mp4,0,126,1317
output_mpeg1_720x480_1500k.mp4,0,126,1317
output_mpeg1_720x480_2000k.mp4,0,124,1319
output_mpeg1_720x480_200k.mp4,0,130,1313
output_mpeg1_720x480_2500k.mp4,0,122,1321
output_mpeg1_720x480_3000k.mp4,0,121,1322
output_mpeg1_720x480_300k.mp4,0,130,1313
output_mpeg1_720x480_3500k.mp4,0,121,1322
output_mpeg1_720x480_400k.mp4,0,130,1313
output_mpeg1_720x480_500k.mp4,0,130,1313
output_mpeg1_720x480_750k.mp4,0,128,1315
output_mpeg4_1280x720_1000k.mp4,0,132,1311
output_mpeg4_1280x720_100k.mp4,0,132,1311
output_mpeg4_1280x720_1250k.mp4,0,132,1311
output_mpeg4_1280x720_1500k.mp4,0,129,1314
output_mpeg4_1280x720_2000k.mp4,0,129,1314
output_mpeg4_1280x720_200k.mp4,0,132,1311
output_mpeg4_1280x720_2500k.mp4,0,126,1317
output_mpeg4_1280x720_3000k.mp4,0,126,1317
output_mpeg4_1280x720_300k.mp4,0,132,1311
output_mpeg4_1280x720_3500k.mp4,0,125,1318
output_mpeg4_1280x720_400k.mp4,0,132,1311
output_mpeg4_1280x720_500k.mp4,0,132,1311
output_mpeg4_1280x720_750k.mp4,0,132,1311
output_mpeg4_176x144_1000k.mp4,0,121,1322
output_mpeg4_176x144_100k.mp4,0,124,1319
output_mpeg4_176x144_1250k.mp4,0,121,1322
output_mpeg4_176x144_1500k.mp4,0,121,1322
output_mpeg4_176x144_2000k.mp4,0,121,1322
output_mpeg4_176x144_200k.mp4,0,122,1321
output_mpeg4_176x144_2500k.mp4,0,121,1322
output_mpeg4_176x144_3000k.mp4,0,121,1322
output_mpeg4_176x144_300k.mp4,0,121,1322
output_mpeg4_176x144_3500k.mp4,0,121,1322
output_mpeg4_176x144_400k.mp4,0,121,1322
output_mpeg4_176x144_500k.mp4,0,121,1322
output_mpeg4_176x144_750k.mp4,0,121,1322
output_mpeg4_1920x1080_1000k.mp4,0,133,1310
output_mpeg4_1920x1080_100k.mp4,0,133,1310
output_mpeg4_1920x1080_1250k.mp4,0,133,1310
output_mpeg4_1920x1080_1500k.mp4,0,133,1310
output_mpeg4_1920x1080_2000k.mp4,0,133,1310
output_mpeg4_1920x1080_200k.mp4,0,133,1310
output_mpeg4_1920x1080_2500k.mp4,0,134,1309
output_mpeg4_1920x1080_3000k.mp4,0,134,1309
output_mpeg4_1920x1080_300k.mp4,0,133,1310
output_mpeg4_1920x1080_3500k.mp4,0,132,1311
output_mpeg4_1920x1080_400k.mp4,0,133,1310
output_mpeg4_1920x1080_500k.mp4,0,133,1310
output_mpeg4_1920x1080_750k.mp4,0,133,1310
output_mpeg4_352x288_1000k.mp4,0,121,1322
output_mpeg4_352x288_100k.mp4,0,129,1314
output_mpeg4_352x288_1250k.mp4,0,121,1322
output_mpeg4_352x288_1500k.mp4,0,121,1322
output_mpeg4_352x288_2000k.mp4,0,121,1322
output_mpeg4_352x288_200k.mp4,0,128,1315
output_mpeg4_352x288_2500k.mp4,0,121,1322
output_mpeg4_352x288_3000k.mp4,0,121,1322
output_mpeg4_352x288_300k.mp4,0,127,1316
output_mpeg4_352x288_3500k.mp4,0,121,1322
output_mpeg4_352x288_400k.mp4,0,124,1319
output_mpeg4_352x288_500k.mp4,0,123,1320
output_mpeg4_352x288_750k.mp4,0,122,1321
output_mpeg4_720x480_1000k.mp4,0,126,1317
output_mpeg4_720x480_100k.mp4,0,130,1313
output_mpeg4_720x480_1250k.mp4,0,126,1317
output_mpeg4_720x480_1500k.mp4,0,125,1318
output_mpeg4_720x480_2000k.mp4,0,122,1321
output_mpeg4_720x480_200k.mp4,0,130,1313
output_mpeg4_720x480_2500k.mp4,0,121,1322
output_mpeg4_720x480_3000k.mp4,0,121,1322
output_mpeg4_720x480_300k.mp4,0,130,1313
output_mpeg4_720x480_3500k.mp4,0,121,1322
output_mpeg4_720x480_400k.mp4,0,130,1313
output_mpeg4_720x480_500k.mp4,0,129,1314
output_mpeg4_720x480_750k.mp4,0,128,1315
