filename,filesize,codec,compression_time,resolution,bitrate_kbps,PSNR,compression_ratio
output_h261_352x288_100k.avi,2261366,h261,0.8459503650665283,352x288,100,33.13,1.719728694956942
output_h261_352x288_200k.avi,2831212,h261,0.9464452266693116,352x288,200,37.7,1.3735940650152656
output_h261_352x288_300k.avi,3564136,h261,0.92256760597229,352x288,300,41.25,1.0911300803336348
output_h261_352x288_400k.avi,4290038,h261,0.9381535053253174,352x288,400,42.67,0.9065038584739809
output_h261_352x288_500k.avi,5009598,h261,1.0458502769470217,352x288,500,44.28,0.7762970202399474
output_h261_352x288_750k.avi,6736278,h261,1.051037311553955,352x288,750,45.75,0.5773122783828102
output_h261_352x288_1000k.avi,8150318,h261,1.0823779106140137,352x288,1000,45.75,0.47715144366146206
output_h261_352x288_1250k.avi,9159780,h261,1.1321916580200195,352x288,1250,45.75,0.4245665288904319
output_h261_352x288_1500k.avi,9464734,h261,1.1280031204223633,352x288,1500,45.75,0.4108869831946677
output_h261_352x288_2000k.avi,9495702,h261,1.164510726928711,352x288,2000,45.75,0.40954697188264755
output_h261_352x288_2500k.avi,9495702,h261,1.1146042346954346,352x288,2500,45.75,0.40954697188264755
output_h261_352x288_3000k.avi,9495702,h261,1.1101086139678955,352x288,3000,45.75,0.40954697188264755
output_h261_352x288_3500k.avi,9495702,h261,1.1102492809295654,352x288,3500,45.75,0.40954697188264755
output_h261_176x144_100k.avi,2040050,h261,0.7196855545043945,176x144,100,39.02,1.3931241881326437
output_h261_176x144_200k.avi,2728830,h261,0.7503056526184082,176x144,200,44.22,1.0414877438316055
output_h261_176x144_300k.avi,3337464,h261,0.7657368183135986,176x144,300,44.28,0.8515576497604169
output_h261_176x144_400k.avi,3861496,h261,0.7686774730682373,176x144,400,44.28,0.73599532409201
output_h261_176x144_500k.avi,4209018,h261,0.7822113037109375,176x144,500,44.28,0.6752270957263666
output_h261_176x144_750k.avi,4306402,h261,0.7666258811950684,176x144,750,44.28,0.659957663032852
output_h261_176x144_1000k.avi,4306402,h261,0.7667131423950195,176x144,1000,44.28,0.659957663032852
output_h261_176x144_1250k.avi,4306402,h261,0.7844738960266113,176x144,1250,44.28,0.659957663032852
output_h261_176x144_1500k.avi,4306402,h261,0.7667009830474854,176x144,1500,44.28,0.659957663032852
output_h261_176x144_2000k.avi,4306402,h261,0.7666420936584473,176x144,2000,44.28,0.659957663032852
output_h261_176x144_2500k.avi,4306402,h261,0.781353235244751,176x144,2500,44.28,0.659957663032852
output_h261_176x144_3000k.avi,4306402,h261,0.7662041187286377,176x144,3000,44.28,0.659957663032852
output_h261_176x144_3500k.avi,4306402,h261,0.7666106224060059,176x144,3500,44.28,0.659957663032852
output_mpeg1_1920x1080_100k.mp4,14957717,mpeg1,6.299563407897949,1920x1080,100,39.85,1.365780152144876
output_mpeg1_1920x1080_200k.mp4,15042619,mpeg1,6.062117576599121,1920x1080,200,39.85,1.358071556555411
output_mpeg1_1920x1080_300k.mp4,15173434,mpeg1,6.115453481674194,1920x1080,300,39.85,1.3463631897696988
output_mpeg1_1920x1080_400k.mp4,15176703,mpeg1,7.615837335586548,1920x1080,400,39.85,1.3460731886233788
output_mpeg1_1920x1080_500k.mp4,15186218,mpeg1,5.990364074707031,1920x1080,500,39.85,1.3452297998092744
output_mpeg1_1920x1080_750k.mp4,15193268,mpeg1,6.033124685287476,1920x1080,750,39.85,1.3446055845259888
output_mpeg1_1920x1080_1000k.mp4,15232438,mpeg1,5.99688720703125,1920x1080,1000,39.85,1.3411479501836803
output_mpeg1_1920x1080_1250k.mp4,15235444,mpeg1,5.904324531555176,1920x1080,1250,39.85,1.3408833375646945
output_mpeg1_1920x1080_1500k.mp4,15236456,mpeg1,6.0197389125823975,1920x1080,1500,39.85,1.340794276569302
output_mpeg1_1920x1080_2000k.mp4,17313343,mpeg1,6.080910682678223,1920x1080,2000,44.52,1.1799542699523715
output_mpeg1_1920x1080_2500k.mp4,21067162,mpeg1,6.0946738719940186,1920x1080,2500,45.61,0.9697059812802503
output_mpeg1_1920x1080_3000k.mp4,24831913,mpeg1,6.297394037246704,1920x1080,3000,46.51,0.8226894561043283
output_mpeg1_1920x1080_3500k.mp4,28583221,mpeg1,6.511060953140259,1920x1080,3500,47.38,0.7147183657153264
output_mpeg1_1280x720_100k.mp4,8737751,mpeg1,2.552294969558716,1280x720,100,38.65,1.2761089209340024
output_mpeg1_1280x720_200k.mp4,8781793,mpeg1,2.635016679763794,1280x720,200,38.65,1.2697090446108215
output_mpeg1_1280x720_300k.mp4,8790280,mpeg1,2.612318277359009,1280x720,300,38.65,1.2684831427440308
output_mpeg1_1280x720_400k.mp4,8816688,mpeg1,2.6044230461120605,1280x720,400,38.65,1.2646837451886694
output_mpeg1_1280x720_500k.mp4,8818553,mpeg1,2.596364021301269,1280x720,500,38.65,1.2644162823538057
output_mpeg1_1280x720_750k.mp4,8838622,mpeg1,2.643125534057617,1280x720,750,38.65,1.2615452951828916
output_mpeg1_1280x720_1000k.mp4,10283166,mpeg1,2.621989488601685,1280x720,1000,43.37,1.0843277255273327
output_mpeg1_1280x720_1250k.mp4,12140837,mpeg1,2.61133337020874,1280x720,1250,44.59,0.9184146035401018
output_mpeg1_1280x720_1500k.mp4,14005415,mpeg1,2.641087532043457,1280x720,1500,46.12,0.7961436344442488
output_mpeg1_1280x720_2000k.mp4,17746316,mpeg1,2.6731693744659424,1280x720,2000,47.58,0.6283175617970513
output_mpeg1_1280x720_2500k.mp4,21493181,mpeg1,2.676506519317627,1280x720,2500,48.29,0.5187841669411336
output_mpeg1_1280x720_3000k.mp4,25248261,mpeg1,2.740983724594116,1280x720,3000,48.98,0.4416273263334849
